,text,old
509,['توج بحث هجي بحث رسل جمع جال بدع نظم جهز حكم'],التوجهات البحثية والمنهجية في بحوث الرسائل الجامعية في مجال الابداع التنظيمي في الاجهزة الحكومية
510,['الي ادء وظف رجع دخل ودر عظم قيم درس يدن'],"آليات أداء وظيفة المراجعة الداخلية ودورها في تعظيم القيمة "" دراسة ميدانية "" "
511,['رضا عملاء كمتغير وسط علق بعد سوق علق ولء عملاء درس طبق'],"رضا العملاء كمتغير وسيط في العلاقة بين أبعاد تسويق العلاقات وولاء العملاء "" دراسة تطبيقية """
512,['طبع بشر فضل خطب كفح فسد نظم شفف دول'],الطبيعة البشرية والفضيلة في خطاب مكافحة الفساد لمنظمة الشفافية الدولية
513,['درك عضء هيئ درس جمع نور أبعاد ثقف جود عمد'],إدراك أعضاء هيئة التدريس في جامعة نورة لأبعاد ثقافة الجودة والاعتماد
514,['حدث نظم حكم سعد جدد صدر رسم لكي رقم 34 ارخ 24 5 1433 هـ'],المستحدث في نظام التحكيم السعودي الجديد الصادر بالمرسوم الملكي رقم 34 وتاريخ 24 / 5 / 1433 هـ
515,['تجه كمل سوق سهم علم أسواق سهم لدل جلس تعا خلج'], اتجاهات التكامل في أسواق الاسهم العالمية وأسواق الاسهم لدول مجلس التعاون الخليجي
516,['قيس ستى شفف فصح قرر الة نشر تحس جود علم حسب نشأ عمل'],قياس مستوى شفافية الافصاح في التقارير المالية المنشورة لتحسين جودة المعلومات المحاسبية بمنشأت الاعمال
517,['أثر خلف ثقف درة عرف مشاريع علم'],تأثير الاختلافات الثقافية على إدارة المعرفة في المشاريع العالمية 
518,['درس حلل عمل خطط عمر سبب زدحام رور دخل دين ريض كنموذج مدن'],دراسة تحليلية لعوامل التخطيط العمراني المسببة للازدحامات المرورية داخل مدينة الرياض كنموذج للمدن
519,['قدر طلب عمل وفد قطع خاص وامكانية حلل عمل وطن ملك'],تقدير الطلب على العمالة الوافدة في القطاع الخاص وامكانية احلالها بالعمالة الوطنية في المملكة
520,['طمر وظف علق راس مال نفس ستى شعر حتق نظم عمل'],اثر الانطمار الوظيفي في العلاقة بين راس المال النفسي ومستوى الشعور بالاحتقان التنظيمي لدى العاملين 
521,['علق حوكم شرك وزع سهم نقد ظل خلف نشط شرك سهم'],العلاقة بين حوكمة الشركات وتوزيعات الاسهم النقدية في ظل اختلاف نشاط الشركات المساهمة
522,['درس حفز دخل شرك عرف نظم'],دراسة اثر التحفيز الداخلي على مشاركة المعرفة التنظيمية
523,['خرج حلل الي خطر نظم سهم سعد درس حلل شرك صنع'],اثر مخرجات التحليل المالي على المخاطر النظامية للاسهم السعودية : دراسة تحليلية للشركات الصناعية
524,['عكس حسب حوكم شرك ؤشر ادء وثر عئد سهم طبق شرك'],الانعكاسات المحاسبية لحوكمة الشركات على مؤشرات الاداء واثرها على عوائد الاسهم بالتطبيق على الشركات
525,['دخل قرح لحد عوق فعل دور رجع خرج سهم كفح غسل مول بنك'],مدخل مقترح للحد من معوقات تفعيل دور المراجعين الخارجيين للمساهمة في مكافحة غسل الاموال في البنوك
526,['صمم نظم علم كترو ذات وعي جمع درة عرف'],تصميم نظم للتعلم الالكتروني ذات وعي اجتماعي من خلال ادارة المعرفة
527,['اثر لزم نظم علق رضا وظف ادء وظف درس حلل'],أثر الالتزام التنظيمي في العلاقة بين الرضا الوظيفي والأداء الوظيفي: دراسة تحليلية
528,['قيس حسب مرس درة ربح نظم عمل سبل علج درس نظر طبق'],القياس المحاسبي لممارسة إدارة الأرباح بمنظمات الأعمال وسبل معالجتها: دراسة نظرية تطبيقية
529,['قيد دري قرن وحد عشر'],القيادة الادارية في القرن الواحد والعشرين
530,['قيم إدر خطر بيئ ربط درة حكم حلة إدر ازم'],تقييم وإدارة المخاطر البيئية: الربط بين إدارة الحكومة المحلية وإدارة الأزمات
531,['ستي عوق تمك علق ولء نظم صرف سعد درس طبق عين صرف برد'],مستويات ومعوقات التمكين وعلاقتة بالولاء التنظيمي في المصارف السعودية: دراسة تطبيقية على عينة من مصارف بريدة 
532,['اطر قرح فعل دور حوكم شرك حجم خدم الب حسب بدع'],إطار مقترح لتفعيل دور حوكمة الشركات في تحجيم استخدام بعض أساليب المحاسبة الإبداعية
533,['عوق نمو قصد ارد'],معوقات النمو الاقتصادي في الأردن
534,['قيس ادء قطع عام بانجلترا بحث خيط ذهب'],قياس الأداء في القطاع العام بانجلترا البحث عن الخيط الذهبي
535,['اثر نظم علم دري عمل دري درس يدن جمع ملك سعد'],"أثر نظم المعلومات الإدارية على العملية الإدارية "" دراسة ميدانية على جامعة الملك سعود"""
536,['دور الي حوكم تحس لءم علم هيكل قيس هرم قيم عدل طبق بنك'],دور آليات الحوكمة في تحسين ملاءمة معلومات هيكل القياس الهرمي للقيمة العادلة بالتطبيق على البنوك
537,['استقلالية دقق حسب شرع عرب درس حلل قرن'],"استقلالية مدقق الحسابات في التشريعات العربية "" دراسة تحليلية مقارنة """
538,['مرس استراتيجية ورد بشر بدل تحس ادء نظم قطع عام'], الممارسات الإستراتيجية للموارد البشرية بدائل تحسين الأداء التنظيمي في القطاع العام 
539,['اثر خصص وظف لزم نظم عمل قطع حكم ملك عرب سعد'],أثر خصائص الوظيفة على الالتزام التنظيمي للعاملين في القطاع الحكومي في المملكة العربية السعودية
540,['اثر خصص جود دقق تحس ستى حفظ حسب شرك سهم عمة صنع ارد'],أثر خصائص جودة التدقيق في تحسين مستوى التحفظ المحاسبي في الشركات المساهمة العامة الصناعية الأردنية
541,['نظم رهن عقر سجل جدد عرض علق'],نظام الرهن العقاري المسجل الجديد عرض وتعليق
542,['قيم فعل نظم دور مقاييس ادء'],تقييم فعالية المنظمات: دور مقاييس الأداء
543,['مدى فعل جرء سلم هنة شفي حكم'], مدى فاعلية إجراءات السلامة المهنية في المستشفيات الحكومية
544,['دفع غير حسب دري وتج جاب فكر طبق عمل'],دوافع التغيير في المحاسبة الادارية واتجاهات الاستجابه في الفكر والتطبيق العملي
545,['أثر عمل جنب قلب عئد سوق سهم صرة'],تأثير تعاملات الأجانب على تقلبات العائد في سوق الأسهم المصرية
546,['عرض نقد كتب درة جمع ؤسس علم علي استراتيجي طور نهج تحس'],عرض نقدي لكتاب : إدارة الجامعات ومؤسسات التعليم العالي: إستراتيجيات التطوير ومناهج التحسين
547,['اثر ثقف نظم سلك لزم نظم درس طبق'], أثر ثقافة المنظمة في سلوكيات الالتزام التنظيمي ( دراسة تطبيقية )
548,['درك دير شرك صنع لإسترتيجية وزر بيئ ارد أثر كفء بيئ'],إدراك المديرين في الشركات الصناعية لإسترتيجية وزارة البيئة الأردنية وأثرها في الكفاءة البيئية
549,['لجن رجع أثر قرر رجع خرج درس طبق شرك دوي صرة'],لجان المراجعة وأثرها على تقرير المراجع الخارجي : دراسة تطبيقية على شركات الأدوية المصرية
551,['درة عرف قضة نظر سيس شرع'],الإدارة المعرفية للقضاة من منظور السياسة الشرعية
552,['جود علم حسب درس طبق شرك سعد سهم فتر 1991 2009م'],جودة المعلومات المحاسبية: دراسة تطبيقية على الشركات السعودية المساهمة للفترة من 1991 - 2009م
553,['اثر ثمر جنب بشر صدر ارد'],أثر الاستثمار الأجنبي المباشر في الصادرات الأردنية
554,['بنء ؤسس دام عمل انس'],بناء المؤسسات المستدامة : العامل الإنساني
555,['درة عرف نظر ثقف حضر دخل استشرافي لسف'],إدارة المعرفة : نحو منظور ثقافي حضاري مدخل استشرافي فلسفي
556,['سبب جاب سوح يدن بحث سحي تدرب عهد درة عمة'], أسباب عدم الاستجابة في المسوح الميدانية : بحث مسحي على متدربي معهد الادارة العامة
557,['خدم فحص اكد مدى طبق بيئ سعد درس طبق نظر عدي بين'],خدمات فحص التاكيدات ومدى تطبيقها في البيئة السعودية : : دراسة تطبيقية من منظور معدي البيانات
558,['عدة نظر طلق أسس دفع خدم عمة حصل عشر بحث خطة عمل'],إعادة النظر في المنطلقات التأسيسية لدوافع الخدمة العامة : حصيلة عشرين عاما من البحوث مع خطة عمل
559,['وقع خطط استراتيجي جهز حكم ودر حقق رؤة ملك 2030'],واقع التخطيط الإستراتيجي في الإجهزة الحكومية ودوره في تحقيق رؤية المملكة 2030
560,['مدى حجة طور نظم هيكل درة حلة وكب رؤة ملك عرب سعد 2030'],مدى الحاجة لتطوير أنظمة وهياكل الإدارة المحلية لمواكبة رؤية المملكة العربية السعودية 2030
561,['جود حية وظف علق إدر ادء درس يدن نسب اجز حكم بمد ريض'],جودة الحياة الوظيفية وعلاقتها بإدارة الأداء - دراسة ميدانية لمنسوبي الأجزة الحكومية بمدينة الرياض
562,['جود حية وظف ودر طور هار دري عمل جهز حكم سعد وجه نظر تدرب عهد درة عمة ريض'],جودة الحياة الوظيفية ودورها في تطوير المهارات الإدارية للعاملين في الأجهزة الحكومية السعودية من وجهة نظر متدربي معهد الإدارة العامة بالرياض
563,['تحد وجه قيد دري نفذ سطى وجه نظر شرك حلق معد درة عمة ضوء رؤة ملك 2030'],التحديات التي تواجه القيادات الإدارية التنفيذية (الوسطى) من وجهة نظر المشاركين في الحلقات بمعد الإدارة العامة على ضوء رؤية المملكة 2030
564,['كمل هدف درة ورد بشر هدف استراتيجية وزر سعد'],التكامل بين أهداف إدارة الموارد البشرية والأهداف الإستراتيجية في الوزارات السعودية
565,['أثر عئد نفط قصد سعد نتج سيس ملك نوع قصد صدر دخل'],تأثير العائدات النفطية على الإقتصاد السعودي ونتائج سياسات المملكة في تنويع إقتصادها ومصادر دخلها
566,['دور سهم قطع اقتصادية عزز جمل نتج حلي درس طبق ملك عرب سعد'],دور مساهمة القطاعات الاقتصادية في تعزيز إجمالي الناتج المحلي - دراسة تطبيقية على المملكة العربية السعودية
567,['تطر دين عام أثر نمو قتصادى ضوء رؤة ملك 2030'],تطور الدين العام وأثره على النمو الاقتصادى في ضوء رؤية المملكة 2030
568,['حجم مثل فاق حكم ملك عرب سعد فتر 1970 2016'],الحجم الأمثل للإنفاق الحكومي في المملكة العربية السعودية خلال الفترة 1970 - 2016
569,['مدى أثر جود رجع دخل ستى شفف جهز حكم ملك عرب سعد درس يدن'],مدى تأثير جودة المراجعة الداخلية في مستوى الشفافية بالأجهزة الحكومية في المملكة العربية السعودية - دراسة ميدانية
570,['دور بين ضخم نمي دري فرص تحد'],دور البيانات الضخمة في التنمية الإدارية - الفرص والتحديات
571,['وعى امن معلوماتي وظف قطع حكم ملك عرب سعد'],الوعى الأمني المعلوماتي لموظفي القطاع الحكومي في المملكة العربية السعودية
572,['الي حقق امن يبر وانعكاسات سلك خدم قني علم وظف قطع حكم ملك عرب سعد'],آليات تحقيق الأمن السيبراني وانعكاساتها على سلوك مستخدمي تقنية المعلومات من موظفي القطاع الحكومي بالمملكة العربية السعودية
574,['مكن تمز ؤسس قطع بنك وفق لرؤ ملك 2030 درس يدن بنك نطق شرق ملك عرب سعد'],ممكنات التميز المؤسسي في القطاع البنكي وفقا لرؤية المملكة 2030 - دراسة ميدانية على بنوك المنطقة الشرقية في المملكة العربية السعودية
575,['رؤى وقع قيس إدر ادء جهز حكم ملك عوق طبق ضوء رؤة ملك 2030'],رؤى حول واقع قياس وإدارة الأداء في الأجهزة الحكومية بالمملكة ومعوقات التطبيق في ضوء رؤية المملكة 2030
576,['تحد وجه جهز حكم نفذ بدر رمج رؤة ملك عرب سعد 2030'],التحديات التي تواجه الأجهزة الحكومية في تنفيذ مبادرات برامج رؤية المملكة العربية السعودية 2030
577,['بيئ قنن ورؤ ملك 2030'],البيئة القانونية ورؤية المملكة 2030
578,['سهم شار دري حقق رؤة ملك 2030 جرب عهد درة عمة فب ملك عرب سعد'],إسهام الاستشارات الإدارية في تحقيق رؤية المملكة 2030 - تجربة معهد الإدارة العامة فب المملكة العربية السعودية
579,['جرب جزر صلح خدم دنة كسب خفق'],التجربة الجزائرية في إصلاح الخدمة المدنية - المكاسب والإخفاقات
580,['تطر نظم ضورء رؤة ملك 2030'],التطور التنظيمي في ضورء رؤية المملكة 2030
583,['جرب بعث ملك عرب سعد'],تجربة الابتعاث في المملكة العربية السعودية
584,['خطط ثمر نمي رأس مال بشر ضوء رؤة ملك 2030'],التخطيط والاستثمار في تنمية رأس المال البشري في ضوء رؤية المملكة 2030
585,['تحد قبل تحل رقم ملك عرب سعد'],تحديات ومستقبل التحول الرقمي في المملكة العربية السعودية
586,['بنء ؤشر قيس ناج وظف حكم'],بناء مؤشر لقياس إنتاجية الموظف الحكومي
587,['مرس خطئ قيس ادء ؤشر ادء رئس'],الممارسات الخاطئة في قياس الأداء ومؤشرات الأداء الرئيسية
588,['جرب عهد درة عمة حوكم درة نفذ مبادراته رنمج تحل وطن 2020'],تجربة معهد الإدارة العامة في حوكمة إدارة وتنفيذ مبادراته في برنامج التحول الوطني 2020
589,['رضا عمل أثر رضا عملاء جود خدم درس يدن قرن شفي عمل قطع حكم قطع خاص نطق غرب ملك عرب سعد'],رضا العاملين وأثره على رضا  العملاء عن جودة الخدمة - دراسة ميدانية: مقارنة بين المستشفيات العاملة في القطاع الحكومي والقطاع الخاص في المنطقة الغربية بالمملكة العربية السعودية
590,['رضا فيد خدم حكم الكترونية ملك عرب سعد طبق نطق ريض'],رضا المستفيدين من الخدمات الحكومية الإلكترونية في المملكة العربية السعودية بالتطبيق على منطقة الرياض
591,['رضا عملاء رجع أقسام طرئ شفي حكم بمد حئل'],رضا العملاء المراجعين لأقسام الطوارئ في المستشفيات الحكومية بمدينة حائل
592,['جود خدم قدم طلب جمع سعد أثر تحس رضا'],جودة الخدمات المقدمة لطلبة الجامعات السعودية وأثرها في تحسين رضاهم
594,['همي فعل سؤل قنن شخص وظف حكم خطئ لضم متع عملاء جهز حكم حقق ركز قنن'],أهمية تفعيل المسؤولية القانونية الشخصية للموظفين الحكوميين عن أخطائهم لضمان تمتع عملاء الجهاز الحكومي بحقوقهم ومراكزهم القانونية
595,['هل رضا عمل وجد خدم حكم حق ام يزة'],هل رضا العميل وجودة الخدمة الحكومية حق أم ميزة؟
597,['دور جهز رقب رفع ستى خدم قدم عملاء قطع حكم'],دور الأجهزة الرقابية في رفع مستوى الخدمات المقدمة للعملاء في القطاع الحكومي
598,['وقع دور قيد دري نمي تحس خدم عملاء درس استطلاعية قطع حكم ملك'],واقع دور القيادات الإدارية في تنمية وتحسين خدمة العملاء: دراسة استطلاعية على القطاع الحكومي بالمملكة
599,['استراتيجية تحس خدم عملاء نظم علم ضوء بكر نظم تصر قرح وزر علم ملك عرب سعد'],استراتيجية تحسين خدمة العملاء في المنظمات التعليمية في ضوء الابتكار التنظيمي: تصور مقترح لوزارة التعليم بالمملكة العربية السعودية
600,['قيس اثر جود خدم الكترونية قطع حكم وذج قرح'],قياس أثر جودة الخدمات الإلكترونية في القطاع الحكومي: نموذج مقترح
601,['درة جود شمل خدم عملاء قطع حكم وذج قرح'],إدارة الجودة الشاملة وخدمة العملاء في القطاع الحكومي - أنموذج مقترح
602,['قيس قطب عمل نجح خدمتى صدر أشر خدم رور بشر باستخدام تقن حلل نصي وقع شبك اجتماعية'],قياس قطبية عوامل نجاح خدمتى إصدار التأشيرات والخدمات المرورية من أبشر باستخدام تقنيات التحليل النصي في مواقع الشبكات الاجتماعية
603,['تبن فهم حكم ذكة طور خدم عملاء قطع حكم ملك عرب سعد وقع طلع طبق دين ريض'],تبني مفهوم الحكومة الذكية لتطوير خدمات عملاء القطاع الحكومي في المملكة العربية السعودية: الواقع والتطلعات (بالتطبيق على مدينة الرياض)
604,['حكم ذكة ودر طور خدم جهز حكم'],الحكومة الذكية ودورها في تطوير خدمات الأجهزة الحكومية
606,['حدد جود خدم ضرب الكترونية ادر ضرب درس حلل قرن مصر سعد ارد'],محددات جودة الخدمات الضريبية الإلكترونية للإدارات الضريبية: دراسة تحليلية مقارنة في مصر - السعودية - الأردن
608,['ستى كمل قيد استراتيجية نفذ حكم ملك عرب سعد'],مستوى التكامل بين القيادات الاستراتيجية والتنفيذية الحكومية في المملكة العربية السعودية
609,['عمل ؤثر قيد نظم قطع حكم'],العوامل المؤثرة في قيادة منظمات القطاع الحكومي
610,['تحد طلع وجه قيد دري وزر صحة درس كيف'],التحديات والتطلعات التي تواجه القيادات الإدارية في وزارة الصحة: دراسة كيفية
612,['ضام قيد حول رمج درس علا درة ربو خطط ودر نمي هار درس قيد'],مضامين القيادة التحويلية ببرامج الدراسات العليا في الإدارة التربوية والتخطيط ودورها في تنمية مهارات الدارسين القيادية
613,['طور قيد ؤسس حكم'],تطوير القيادة في المؤسسات الحكومية
614,['طور قيد دري عمد شؤؤ طلب جمع حكم سعد ضوء تحد عصر جرب علم'],تطوير القيادات الإدارية في عمادات شؤؤن الطلاب بالجامعات الحكومية السعودية في ضوء التحديات المعاصرة والتجارب العالمية
615,['بعد خصص قيد خلق جهز حكم نطق تبك'],أبعاد وخصائص القيادة الأخلاقية في الأجهزة الحكومية بمنطقة تبوك
616,['اثر مرس قيد خلق دير حقق تمز نظم درس طبق حفظ ابع إمر مكة كرم'],أثر ممارسات القيادة الأخلاقية للمديرين في تحقيق التميز التنظيمي: دراسة تطبيقية على المحافظات التابعة لإمارة مكة المكرمة
617,['دور قيد جمع حكم سعد بنء جمع تعلم درس يدن وجه نظر وظف دري'],دور القيادة في الجامعات الحكومية السعودية في بناء الجامعة المتعلمة: دراسة ميدانية من وجهة نظر الموظفين الإداريين فيها
618,['خبر صلح طبق قيس قيد خدم بيئ جهز حكم ملك عرب سعد'],اختبار صلاحية تطبيق مقياس للقيادة الخادمة في بيئة الأجهزة الحكومية في المملكة العربية السعودية
619,['اثر نمط قيد تبع جود علق قدة رؤس ودر عزز سلك وظف بيئ غير نظم'],أثر نمط القيادة المتبع على جودة العلاقة بين القادة ومرؤوسيهم ودور ذلك في تعزيز سلوكيات الموظفين في بيئة التغيير التنظيمي
620,['قيد خلق علق ستو ولء نظم درس يدن عمل دين ملك عبد عزز علم قني'],القيادة الأخلاقية وعلاقتها بمستويات الولاء التنظيمي: دراسة ميدانية على العاملين في مدينة الملك عبد العزيز للعلوم والتقنية
621,['استراتيجية قيد ديناميكية دعم بكر جمع كمدخل طور قيد دري وذج قرح نظم علم ملك عرب سعد'],إستراتيجية القيادة الديناميكية الداعمة للابتكار الاجتماعي: كمدخل لتطوير القيادات الإدارية (نموذج مقترح للمنظمات التعليمية بالمملكة العربية السعودية)
622,['معايير خير قدة جهز حكم'],معايير اختيار القادة في الأجهزة الحكومية
623,['استراتيجي خطط عقب قيد درس يدن قيد دري جهز حكم ملك عرب سعد'],استراتيجيات خطط تعاقب القيادات: دراسة ميدانية على القيادات الإدارية في الأجهزة الحكومية في المملكة العربية السعودية
624,['تحد طبق خطط عقب وظف نظم سعد درس حلة هيئ ؤسس حكم'],تحديات تطبيق خطط التعاقب الوظيفي في المنظمات السعودية - دراسة حالة: الهيئات والمؤسسات الحكومية
625,['خطط عقب قيد دري حكزم ملك عرب سعد'],تخطيط تعاقب القيادات الإدارية الحكزمية في المملكة العربية السعودية
626,['دور قان فعل قيد دري حكم درس حلل ضوء قضء ديو ظلم ملك عرب سعد'],دور القانون في فعالية القيادات الإدارية الحكومية: دراسة تحليلية في ضوء قضاء ديوان المظالم في المملكة العربية السعودية
627,['جنب قنن نظم تعلق وظف عمة ملك تحد ادء جاز قيد دري حكم'],الجوانب القانونية للأنظمة المتعلقة بالوظيفة العامة في المملكة التي تحد من أداء وانجاز القيادات الإدارية الحكومية
628,['توط بدأ جدر خير وتع قيد دري حكم ملك عرب سعد ضوء خبر دول'],توطين مبدأ الجدارة في اختيار وتعيين القيادات الادارية الحكومية في المملكة العربية السعودية (في ضوء الخبرات الدولية)
629,['وظف قيد خدم دنة وقع أمل درس يدن'],الوظائف القيادية في الخدمة المدنية بين الواقع والمأمول: دراسة ميدانية
630,['تحد وجه قيد دري حكم وظف نظم درة علم درب كترو جهز حكم درس نوع باستخدام وذج قبل قني'],التحديات التي تواجهها القيادات الإدارية الحكومية في توظيف نظم إدارة التعليم والتدريب الإلكتروني في الأجهزة الحكومية: دراسة نوعية باستخدام نموذج قبول التقنية
631,['عوق ولى رأة سعد نصب قيد علا جمع سعد'],معوقات تولى المرأة السعودية المناصب القيادية العليا في الجامعات السعودية
632,['تمك وظف قيد اكاديمية نسي جمع سعد'],التمكين الوظيفي للقيادات الأكاديمية النسائية في الجامعات السعودية
633,['تحد وجه قيد دري نسي جمع سعد'],التحديات التي تواجه القيادات الإدارية النسائية بالجامعات السعودية
634,['تمك دري قيد نسي جمع سعد وقع تحد'],التمكين الإداري للقيادات النسائية في الجامعات السعودية: الواقع والتحديات
635,['تصر قرح طبق دخل ريد استراتيجية قيد جمع درة ؤسس علم علي ملك عرب سعد'],تصور مقترح لتطبيق مدخل الريادة الاستراتيجية للقيادات الجامعية في إدارة مؤسسات التعليم العالي بالمملكة العربية السعودية
636,['قيم دور جهز رقب رفع ستى نزه شفف جهز حكم ملك عرب سعد درس طبق'],تقييم دور الأجهزة الرقابية في رفع مستوى النزاهة والشفافية في الأجهزة الحكومية بالمملكة العربية السعودية: دراسة تطبيقية
637,['فخو صفر حجة دري حمي قنن'],نافخو الصافرات بين الحاجة الإدارية والحماية القانونية
638,['دور علم وعي حوكم درس يدن نسب جهز حكم بمد ريض'],دور الإعلام في التوعية بالحوكمة: دراسة ميدانية على منسوبي الأجهزة الحكومية بمدينة الرياض
639,['حوكم الكترونية ودر حقق هدف نمي دري درس حلة وذج حكم ذكة بدب'],الحوكمة الإلكترونية ودورها في تحقيق أهداف التنمية الإدارية: دراسة حالة لنموذج الحكومة الذكية بدبي
640,['قيم مرس حوكم شرك أثر ستى ادء شرك ظل خلف هيكل لكة دلل شرك درج سوق الة سعد'],تقييم ممارسات حوكمة الشركات وأثرها على مستوى أداء الشركات في ظل اختلاف هياكل الملكية: دليل من الشركات المدرجة بالسوق المالية السعودية
642,['طور شمل درة عمة عزز قصد ريد عمل ملك عرب سعد'],التطوير الشامل للإدارة العامة لتعزيز اقتصاد ريادة الأعمال بالمملكة العربية السعودية
643,['درب حكم ريد عمل ملك عرب سعد درس استطلاعية عين رود ورد عمل'],التدريب الحكومي لريادة الأعمال في المملكة العربية السعودية: دراسة استطلاعية على عينة من رواد ورائدات الأعمال
644,['همي درة عرف حقق نمي دري اقتصادية'],أهمية إدارة المعرفة في تحقيق التنمية الإدارية والاقتصادية
645,['قيس فصح حسب رأس مال عرف دعم هدف تمة دري رنمج تحل وطن 2020 ملك عرب سعد شكل حلل قرح درس طبق شرك تصل سعد'],القياس والإفصاح المحاسبي عن رأس المال المعرفي لدعم أهداف التمية الإدارية ببرنامج التحول الوطني 2020 في المملكة العربية السعودية: المشكلات والحلول المقترحة (دراسة تطبيقية على شركات الاتصالات السعودية)
646,['دور شرف ربو نمي هنة علم رحل ثني عصر قصد عرف'],دور الإشراف التربوي في التنمية المهنية لمعلمي المرحلة الثانوية في عصر الاقتصاد المعرفي
647,['شرك قطع عام خاص ppp ودر نمي دري ضوء رؤة 2030 رنمج تحل وطن'],الشراكة بين القطاعين العام والخاص PPP ودورها في التنمية الإدارية في ضوء رؤية 2030 وبرنامج التحول الوطني
648,['خطط استراتيجي شرك نظم علم قطع خاص تنم كفء ادء دري وذج قرح وزر علم ملك عرب سعد'],التخطيط الاستراتيجي للشراكة بين المنظمات التعليمية والقطاع الخاص لتنمية كفاءة الأداء الإداري (أنموذج مقترح لوزارة التعليم بالمملكة العربية السعودية)
649,['قعد نظم لاستثمار ؤسس الة جنب سوق مال قرء اقتصادية وقانونية'],القواعد المنظمة لاستثمار المؤسسات المالية الأجنبية في سوق المال: قراءة اقتصادية وقانونية
650,['سبل فعل شرك جمع قطع خاص ودر نمي دري ملك عرب سعد'],سبل تفعيل الشراكة بين الجامعات والقطاع الخاص ودورها في التنمية الإدارية بالمملكة العربية السعودية
651,['تجه عضء هيئ درس جمع حكم دور درب نمي قدر'],اتجاهات أعضاء هيئة التدريس في الجامعات الحكومية نحو دور التدريب عن بعد في تنمية قدراتهم
652,['طور وذج حلل حيج درب استراتيجي نظم ربح'],تطوير نموذج لتحليل الاحتياج التدريبي الإستراتيجي في المنظمات غير الربحية
653,['قيد تنم ورد بشر جمع مير نور بنت عبد رحم درس استطلاعية آرء تجه وظف دري'],القيادة وتنمية الموارد البشرية في جامعة الأميرة نورة بنت عبد الرحمن - دراسة استطلاعية لآراء (اتجاهات) الموظفات الإداريات
654,['درب بادل قنة نمي دري تصر قرح'],التدريب المتبادل قناة التنمية الإدارية (تصور مقترح)
655,['وقع ثقف نظم علق تمك دري قيد نسي وزر حكم ملك عرب سعد'],واقع الثقافة التنظيمية وعلاقتها بالتمكين الإداري للقيادات النسائية في الوزارات الحكومية بالمملكة العربية السعودية
656,['درة ورد بشر نسي وزر علم ملك عرب سعد ضوء جرب امر تصر قرح'],إدارة الموارد البشرية النسائية في وزارة التعليم في المملكة العربية السعودية في ضوء التجربة الأمريكية: تصور مقترح
657,['دور جمع نمي هار قيد طلب وجه نظر عضء هيئ درس'],دور الجامعات في تنمية المهارات القيادية لدى طلابها من وجهة نظر أعضاء هيئة التدريس
658,['ضمن وظف رحل حقق دري نظم سعد'],ضمانات الموظف في مرحلة التحقيق الإداري في النظام السعودي
659,['اثر اسس حقق عدل طبق حسب سؤل دئر حكم دلل ارد']," أثر أساس الاستحقاق المعدل في تطبيق محاسبة المسؤولية في الدوائر الحكومية "" دليل من الأردن """
660,['حدد فاق حكم ملك عرب سعد'],محددات الانفاق الحكومي في المملكة العربية السعودية
661,['قرر دري عدم فقه قضء درس قرن'],القرارات الإدارية المعدومة في الفقه والقضاء : دراسة مقارنة
662,['نظم تفق فاض عقد دري درس قرن ملك عرب سعد مصر'],التنظيم الاتفاقي لمفاوضات العقود الإدارية : دراسة مقارنة بين المملكة العربية السعودية ومصر 
663,['فصح نبؤ الة قرر ثمر ورق الة درس طبق'],اثر الافصاح عن التنبؤات المالية في قرارات الاستثمار في الاوراق المالية مع دراسة تطبيقية
664,['علق سبب تجه جار خرج نمو قصد'],العلاقة السببية بين اتجاهات التجارة الخارجية والنمو الاقتصادي
665,['قيد استراتيجة فن نهج'],القيادة الإستراتيجة : فن ومنهج
666,['مدى طبق بدى درة جود شمل شفي دين ريض وجه نظر مرس هنة مرض'],مدى تطبيق مبادى أدارة الجودة الشاملة في مستشفيات مدينة الرياض من وجهة نظر ممارسي مهنة التمريض
667,['قيد استرتيجية علم نظم'],القيادة الاسترتيجية والتعلم التنظيمي
668,['نوع جهز حكم اثر ستى رضا وظف درس طبق'],نوع الجهاز الحكومي و أثره على مستوى الرضا الوظيفي : دراسة تطبيقية
669,['استراتيجية غير ثقف ؤسس ربو دير جدد أثر عمل دري'],إستراتيجية تغيير ثقافة المؤسسات التربوية من قبل المديرين الجدد وأثرها على العمل الإداري
670,['دور مرس علم نظم سند غير استراتيجي شآت سعد كبرى'],دور ممارسة التعلم التنظيمي في مساندة التغيير الإستراتيجي في المنشآت السعودية الكبرى
671,['قلل قضء دعء عام نظم سعد درس قرن'],استقلال القضاء والادعاء العام في الأنظمة السعودية : دراسة مقارنة
672,['درة ربح شرك سعد'],إدارة الربح في الشركات السعودية
673,['استراتيجية درة ياب'], إستراتيجية الإدارة اليابانية 
674,['لمذ جهل درة عمة علم عام وهل لذلك همي'],لماذا تتجاهل الادارة العامة التعليم العام ؟ وهل لذلك أهمية ؟
675,['حلل قصد حدد نمو عمر دين برد نطق قصم'], تحليل اقتصادي لمحددات النمو العمراني في مدينة بريدة بمنطقة القصيم
676,['دخل حسب كلف اسس نشط كأساس قيس كلف خدم صحة شفي'],مدخل المحاسبة عن التكلفة على أساس النشاط كأساس لقياس تكلفة الخدمات الصحية بالمستشفيات
